methylation_gene__GENE_DGUOK,methylation_gene__GENE_GPI,methylation_gene__GENE_TMEM109,rnaseq_gene__GENE_C11ORF40,rnaseq_gene__GENE_C11ORF64,rnaseq_gene__GENE_CDX4,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_CT47A1,rnaseq_gene__GENE_CT47A10,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A9,rnaseq_gene__GENE_DEFB105A,rnaseq_gene__GENE_DEFB110,rnaseq_gene__GENE_DEFB121,rnaseq_gene__GENE_DUX4L2,rnaseq_gene__GENE_FKSG73,rnaseq_gene__GENE_GLYCAM1,rnaseq_gene__GENE_GPHB5,rnaseq_gene__GENE_HSFX1,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_KRTAP20-3,rnaseq_gene__GENE_LCN9,rnaseq_gene__GENE_LGALS13,rnaseq_gene__GENE_MS4A5,rnaseq_gene__GENE_OR10Z1,rnaseq_gene__GENE_OR1S1,rnaseq_gene__GENE_OR1S2,rnaseq_gene__GENE_OR2M7,rnaseq_gene__GENE_OR2T1,rnaseq_gene__GENE_OR2T27,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_OR4B1,rnaseq_gene__GENE_OR4C12,rnaseq_gene__GENE_OR4C45,rnaseq_gene__GENE_OR4D11,rnaseq_gene__GENE_OR4D9,rnaseq_gene__GENE_OR4S2,rnaseq_gene__GENE_OR51F1,rnaseq_gene__GENE_OR51G1,rnaseq_gene__GENE_OR52A1,rnaseq_gene__GENE_OR5AS1,rnaseq_gene__GENE_OR5F1,rnaseq_gene__GENE_OR5M9,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_PPIAL4B,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_PRLH,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_SCARNA14,rnaseq_gene__GENE_SCARNA23,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_SNAR-I,rnaseq_gene__GENE_SNORA11B,rnaseq_gene__GENE_SNORA19,rnaseq_gene__GENE_SNORA70C,rnaseq_gene__GENE_SPACA1,rnaseq_gene__GENE_SPANXN4,rnaseq_gene__GENE_SPINT4,rnaseq_gene__GENE_SUN5,rnaseq_gene__GENE_TEX28,rnaseq_gene__GENE_TEX36-AS1,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_TTTY11,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_TTTY6B,target
0.38272366,0.10668483,0.031160919,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
-0.5271776,-0.3852079,-0.20379874,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
0.8847392,0.19646877,0.0578358,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,8.547053,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,1
-0.018361848,0.11527684,0.01959112,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
-1.2983956,0.0009969068,0.11848842,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,8.328359,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
-1.2155954,0.17765413,-0.05920922,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,2.0696442,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,1.8782828,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
-0.06381796,0.10119419,-0.21884118,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
-0.42394593,0.16282801,0.003981541,-0.030400895,13.824907,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,2.9684794,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,1.623419,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,1
-0.16403167,-0.27067548,-0.09123096,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,3.2342472,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
-1.1482592,0.49424517,-0.058232967,-0.030400895,-0.065332845,-0.110764034,-0.030400895,-0.030400893,-0.0422333,0.0,-0.030400895,-0.030400895,0.0,-0.030400896,-0.0420995,-0.030400896,-0.06875552,-0.06138558,-0.21623045,-0.06327252,-0.030400896,-0.05562216,0.0,-0.059162382,-0.070756495,-0.069158584,-0.059134748,-0.050438117,-0.074266955,-0.11696981,-0.06331775,-0.050521668,-0.030400898,-0.04482511,-0.11426283,-0.11802022,-0.088503554,-0.10281369,-0.057956457,-0.072152846,-0.06812416,-0.07367828,-0.054283794,-0.07109857,-0.08870556,-0.057666454,-0.05578467,-0.040199555,-0.43909836,-0.044386145,-0.030400895,-0.030400895,-0.030400896,-0.04061949,-0.039873518,-0.030400895,-0.08317388,-0.078748696,-0.050053358,-0.030400896,-0.030400898,-0.082764626,-0.076546915,0.0,-0.10053951,-0.050725356,-0.04297243,-0.041555054,-0.030400895,-0.057560377,-0.04756436,-0.035875507,0.0,-0.030400895,0.0,0
