rank,feature_id,modality
1,rnaseq_gene::GENE:TEX36-AS1,rnaseq_gene
2,rnaseq_gene::GENE:OR2T12,rnaseq_gene
3,rnaseq_gene::GENE:OR1S1,rnaseq_gene
4,rnaseq_gene::GENE:CT47A10,rnaseq_gene
5,rnaseq_gene::GENE:OR2T1,rnaseq_gene
6,rnaseq_gene::GENE:OR4C12,rnaseq_gene
7,rnaseq_gene::GENE:OR4D9,rnaseq_gene
8,rnaseq_gene::GENE:OR5AS1,rnaseq_gene
9,rnaseq_gene::GENE:OR8H1,rnaseq_gene
10,rnaseq_gene::GENE:GLYCAM1,rnaseq_gene
11,rnaseq_gene::GENE:CT47A9,rnaseq_gene
12,rnaseq_gene::GENE:GPHB5,rnaseq_gene
13,rnaseq_gene::GENE:HSFX1,rnaseq_gene
14,rnaseq_gene::GENE:LCE3C,rnaseq_gene
15,rnaseq_gene::GENE:SCARNA14,rnaseq_gene
16,rnaseq_gene::GENE:CDX4,rnaseq_gene
17,rnaseq_gene::GENE:PPIAL4B,rnaseq_gene
18,rnaseq_gene::GENE:OR52J3,rnaseq_gene
19,rnaseq_gene::GENE:OR4M1,rnaseq_gene
20,rnaseq_gene::GENE:FLJ44082,rnaseq_gene
21,rnaseq_gene::GENE:SUN5,rnaseq_gene
22,rnaseq_gene::GENE:SNAR-F,rnaseq_gene
23,rnaseq_gene::GENE:DEFB107A,rnaseq_gene
24,rnaseq_gene::GENE:KRTAP19-6,rnaseq_gene
25,rnaseq_gene::GENE:TAAR2,rnaseq_gene
26,rnaseq_gene::GENE:OR10C1,rnaseq_gene
27,rnaseq_gene::GENE:TBC1D21,rnaseq_gene
28,rnaseq_gene::GENE:PRR23B,rnaseq_gene
29,rnaseq_gene::GENE:MT4,rnaseq_gene
30,rnaseq_gene::GENE:OR5K4,rnaseq_gene
31,rnaseq_gene::GENE:SCGB1D4,rnaseq_gene
32,rnaseq_gene::GENE:OR4F17,rnaseq_gene
33,rnaseq_gene::GENE:OR2M7,rnaseq_gene
34,rnaseq_gene::GENE:DEFB136,rnaseq_gene
35,rnaseq_gene::GENE:OR10AG1,rnaseq_gene
36,rnaseq_gene::GENE:OR4A5,rnaseq_gene
37,rnaseq_gene::GENE:OR6K2,rnaseq_gene
38,rnaseq_gene::GENE:KRTAP9-8,rnaseq_gene
39,rnaseq_gene::GENE:CETN1,rnaseq_gene
40,rnaseq_gene::GENE:MYF5,rnaseq_gene
41,rnaseq_gene::GENE:KRTAP9-2,rnaseq_gene
42,rnaseq_gene::GENE:CT47A6,rnaseq_gene
43,rnaseq_gene::GENE:CYLC2,rnaseq_gene
44,rnaseq_gene::GENE:KRTAP9-9,rnaseq_gene
45,rnaseq_gene::GENE:KRTAP19-5,rnaseq_gene
46,rnaseq_gene::GENE:TTTY6,rnaseq_gene
47,rnaseq_gene::GENE:HES3,rnaseq_gene
48,methylation_gene::GENE:ZMYND19,methylation_gene
49,rnaseq_gene::GENE:PSG10,rnaseq_gene
50,rnaseq_gene::GENE:TTTY6B,rnaseq_gene
51,rnaseq_gene::GENE:KRTAP19-3,rnaseq_gene
52,rnaseq_gene::GENE:OR9K2,rnaseq_gene
53,rnaseq_gene::GENE:OR5B3,rnaseq_gene
54,methylation_gene::GENE:IPPK,methylation_gene
55,methylation_gene::GENE:EIF4G1,methylation_gene
56,rnaseq_gene::GENE:OR5H14,rnaseq_gene
57,rnaseq_gene::GENE:FTMT,rnaseq_gene
58,rnaseq_gene::GENE:RBMY1B,rnaseq_gene
59,methylation_gene::GENE:C9ORF3,methylation_gene
60,methylation_gene::GENE:CENPM,methylation_gene
61,methylation_gene::GENE:PPP6C,methylation_gene
62,rnaseq_gene::GENE:PSKH2,rnaseq_gene
63,rnaseq_gene::GENE:C9ORF27,rnaseq_gene
64,rnaseq_gene::GENE:POTED,rnaseq_gene
65,rnaseq_gene::GENE:C3ORF77,rnaseq_gene
66,methylation_gene::GENE:SLC2A12,methylation_gene
67,rnaseq_gene::GENE:PSG2,rnaseq_gene
68,rnaseq_gene::GENE:OR4K14,rnaseq_gene
69,rnaseq_gene::GENE:MYT1L-AS1,rnaseq_gene
70,rnaseq_gene::GENE:OR13C8,rnaseq_gene
71,rnaseq_gene::GENE:TEX13A,rnaseq_gene
72,methylation_gene::GENE:ZNF354A,methylation_gene
73,rnaseq_gene::GENE:FKSG73,rnaseq_gene
74,rnaseq_gene::GENE:OR2M4,rnaseq_gene
75,rnaseq_gene::GENE:HDGFL1,rnaseq_gene
76,methylation_gene::GENE:ISG15,methylation_gene
77,rnaseq_gene::GENE:SNORA28,rnaseq_gene
78,rnaseq_gene::GENE:OR51F1,rnaseq_gene
79,methylation_gene::GENE:ATP5E,methylation_gene
80,rnaseq_gene::GENE:OR14J1,rnaseq_gene
81,methylation_gene::GENE:RPLP2,methylation_gene
82,rnaseq_gene::GENE:OR7G3,rnaseq_gene
83,methylation_gene::GENE:E2F1,methylation_gene
84,rnaseq_gene::GENE:OR6C76,rnaseq_gene
85,methylation_gene::GENE:ADC,methylation_gene
86,rnaseq_gene::GENE:ZCCHC13,rnaseq_gene
87,rnaseq_gene::GENE:MAGEB3,rnaseq_gene
88,methylation_gene::GENE:NDE1,methylation_gene
89,rnaseq_gene::GENE:OR4N3P,rnaseq_gene
90,rnaseq_gene::GENE:PSG11,rnaseq_gene
91,rnaseq_gene::GENE:OR51D1,rnaseq_gene
92,rnaseq_gene::GENE:PRAC,rnaseq_gene
93,rnaseq_gene::GENE:KRTAP10-9,rnaseq_gene
94,methylation_gene::GENE:GOPC,methylation_gene
95,rnaseq_gene::GENE:OR2M1P,rnaseq_gene
96,rnaseq_gene::GENE:SLC6A5,rnaseq_gene
97,rnaseq_gene::GENE:GAGE12F,rnaseq_gene
98,methylation_gene::GENE:KIF20B,methylation_gene
99,methylation_gene::GENE:CSTB,methylation_gene
100,rnaseq_gene::GENE:CRYGD,rnaseq_gene
