dataset,endpoint,horizon_days,source_cancers,view,label_rule,dataset_path,metadata_path,n_total,n_train,n_val,n_test,class_counts_total,class_counts_train,class_counts_val,class_counts_test,class_0_train,class_1_train,class_0_val,class_1_val,class_0_test,class_1_test,cancer_counts_total,test_cancer_counts,model_name,version,task_type,status,accuracy,f1,roc_auc,log_loss,pr_auc,sensitivity,specificity,balanced_accuracy,run_dir,prediction_path,model_family,raw_paths,plot_files
BRCA_core_os_3yr_event_top100,os_3yr,1095,BRCA,core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100_metadata.csv,501,350,75,76,"{'0': 430, '1': 71}","{'0': 301, '1': 49}","{'0': 64, '1': 11}","{'0': 65, '1': 11}",301,49,64,11,65,11,{'BRCA': 501},{'BRCA': 76},tabpfn_v2,v2,binary,success,0.8552631578947368,0.0,0.7216783216783217,0.383518150446762,0.3506835158305746,0.0,1.0,0.5,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350/predictions/tabpfn_v2_predictions.csv,tabpfn,,
BRCA_core_os_3yr_event_top100,os_3yr,1095,BRCA,core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100_metadata.csv,501,350,75,76,"{'0': 430, '1': 71}","{'0': 301, '1': 49}","{'0': 64, '1': 11}","{'0': 65, '1': 11}",301,49,64,11,65,11,{'BRCA': 501},{'BRCA': 76},tabpfn_v2_5,v2_5,binary,success,0.8552631578947368,0.0,0.641958041958042,0.3885430098025013,0.3828504248980917,0.0,1.0,0.5,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350/predictions/tabpfn_v2_5_predictions.csv,tabpfn,,
BRCA_core_os_3yr_event_top100,os_3yr,1095,BRCA,core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100_metadata.csv,501,350,75,76,"{'0': 430, '1': 71}","{'0': 301, '1': 49}","{'0': 64, '1': 11}","{'0': 65, '1': 11}",301,49,64,11,65,11,{'BRCA': 501},{'BRCA': 76},tabpfn_v2_6,v2_6,binary,success,0.868421052631579,0.1666666666666666,0.641958041958042,0.3694309163402479,0.4254186654492099,0.0909090909090909,1.0,0.5454545454545454,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350/predictions/tabpfn_v2_6_predictions.csv,tabpfn,,
BRCA_core_os_3yr_event_top100,os_3yr,1095,BRCA,core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_3yr_event_top100_metadata.csv,501,350,75,76,"{'0': 430, '1': 71}","{'0': 301, '1': 49}","{'0': 64, '1': 11}","{'0': 65, '1': 11}",301,49,64,11,65,11,{'BRCA': 501},{'BRCA': 76},tabpfn_v3,v3,binary,success,0.868421052631579,0.1666666666666666,0.5664335664335665,0.3875920794126618,0.3082934531798168,0.0909090909090909,1.0,0.5454545454545454,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_3yr_event_top100/20260705_040350/predictions/tabpfn_v3_predictions.csv,tabpfn,,
BRCA_core_os_5yr_event_top100,os_5yr,1825,BRCA,core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100_metadata.csv,350,244,53,53,"{'0': 249, '1': 101}","{'0': 173, '1': 71}","{'0': 38, '1': 15}","{'0': 38, '1': 15}",173,71,38,15,38,15,{'BRCA': 350},{'BRCA': 53},tabpfn_v2,v2,binary,success,0.7169811320754716,0.0,0.6035087719298246,0.5805018659087904,0.510796141389491,0.0,1.0,0.5,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410/predictions/tabpfn_v2_predictions.csv,tabpfn,,
BRCA_core_os_5yr_event_top100,os_5yr,1825,BRCA,core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100_metadata.csv,350,244,53,53,"{'0': 249, '1': 101}","{'0': 173, '1': 71}","{'0': 38, '1': 15}","{'0': 38, '1': 15}",173,71,38,15,38,15,{'BRCA': 350},{'BRCA': 53},tabpfn_v2_5,v2_5,binary,success,0.7169811320754716,0.0,0.5947368421052631,0.5763073100094839,0.4603339999514384,0.0,1.0,0.5,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410/predictions/tabpfn_v2_5_predictions.csv,tabpfn,,
BRCA_core_os_5yr_event_top100,os_5yr,1825,BRCA,core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100_metadata.csv,350,244,53,53,"{'0': 249, '1': 101}","{'0': 173, '1': 71}","{'0': 38, '1': 15}","{'0': 38, '1': 15}",173,71,38,15,38,15,{'BRCA': 350},{'BRCA': 53},tabpfn_v2_6,v2_6,binary,success,0.7358490566037735,0.125,0.5464912280701755,0.5828900590195274,0.3997149953009182,0.0666666666666666,1.0,0.5333333333333333,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410/predictions/tabpfn_v2_6_predictions.csv,tabpfn,,
BRCA_core_os_5yr_event_top100,os_5yr,1825,BRCA,core,1 = death observed on or before 1825 days; 0 = known survival beyond 1825 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/BRCA_core_os_5yr_event_top100_metadata.csv,350,244,53,53,"{'0': 249, '1': 101}","{'0': 173, '1': 71}","{'0': 38, '1': 15}","{'0': 38, '1': 15}",173,71,38,15,38,15,{'BRCA': 350},{'BRCA': 53},tabpfn_v3,v3,binary,success,0.7358490566037735,0.125,0.5842105263157894,0.5718562154271083,0.4359003021228085,0.0666666666666666,1.0,0.5333333333333333,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/brca_core_os_5yr_event_top100/20260705_040410/predictions/tabpfn_v3_predictions.csv,tabpfn,,
ESCA_core_os_3yr_event_top100,os_3yr,1095,ESCA,core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/ESCA_core_os_3yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/ESCA_core_os_3yr_event_top100_metadata.csv,86,60,13,13,"{'1': 68, '0': 18}","{'1': 48, '0': 12}","{'1': 10, '0': 3}","{'1': 10, '0': 3}",12,48,3,10,3,10,{'ESCA': 86},{'ESCA': 13},tabpfn_v2,v2,binary,success,0.7692307692307693,0.8695652173913043,0.2333333333333333,0.5596449482388756,0.6677455877455878,1.0,0.0,0.5,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/esca_core_os_3yr_event_top100/20260705_040419,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/esca_core_os_3yr_event_top100/20260705_040419/predictions/tabpfn_v2_predictions.csv,tabpfn,,
ESCA_core_os_3yr_event_top100,os_3yr,1095,ESCA,core,1 = death observed on or before 1095 days; 0 = known survival beyond 1095 days,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/ESCA_core_os_3yr_event_top100.csv,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/datasets/ESCA_core_os_3yr_event_top100_metadata.csv,86,60,13,13,"{'1': 68, '0': 18}","{'1': 48, '0': 12}","{'1': 10, '0': 3}","{'1': 10, '0': 3}",12,48,3,10,3,10,{'ESCA': 86},{'ESCA': 13},tabpfn_v2_5,v2_5,binary,success,0.7692307692307693,0.8695652173913043,0.2333333333333333,0.5735895105542087,0.6760789210789211,1.0,0.0,0.5,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/esca_core_os_3yr_event_top100/20260705_040419,/home/prime/Documents/g3/cancer-os-exp/exp01_per_cancer_fixed_window/outputs_tabpfn/tabpfn/runs/esca_core_os_3yr_event_top100/20260705_040419/predictions/tabpfn_v2_5_predictions.csv,tabpfn,,
